Urdu Text,Roman Transliteration,Urdu Tokens,Roman Tokens
دل اسی غم کی راجدہانی ہے,dil usī ġham kī rājdhānī hai,د ل   ا س ی   غ م   ک ی   ر ا ج د ہ ا ن ی   ہ ے,d i l   u s ī   ġ h a m   k ī   r ā j d h ā n ī   h a i
جتنے رستے تہے ترے ہو گئے ویراں اے عشق,jitne raste the tire ho gae vīrāñ ai ishq,ج ت ن ے   ر س ت ے   ت ہ ے   ت ر ے   ہ و   گ ئ ے   و ی ر ا ں   ا ے   ع ش ق,j i t n e   r a s t e   t h e   t i r e   h o   g a e   v ī r ā ñ   a i   i s h q
ہوا کو دیکہ کے جالبؔ مثال ہم عصراں,havā ko dekh ke jālib misālehamasrāñ,ہ و ا   ک و   د ی ک ہ   ک ے   ج ا ل ب ؔ   م ث ا ل   ہ م   ع ص ر ا ں,h a v ā   k o   d e k h   k e   j ā l i b   m i s ā l e h a m a s r ā ñ
نہ زباں کوئی غزل کی نہ زباں سے باخبر میں,na zabāñ koī ġhazal kī na zabāñ se bāḳhabar maiñ,ن ہ   ز ب ا ں   ک و ئ ی   غ ز ل   ک ی   ن ہ   ز ب ا ں   س ے   ب ا خ ب ر   م ی ں,n a   z a b ā ñ   k o ī   ġ h a z a l   k ī   n a   z a b ā ñ   s e   b ā ḳ h a b a r   m a i ñ
چلئے عاشق کا جنازہ اٹہا,chaliye āshiq kā janāza utthā,چ ل ئ ے   ع ا ش ق   ک ا   ج ن ا ز ہ   ا ٹ ہ ا,c h a l i y e   ā s h i q   k ā   j a n ā z a   u t t h ā
کٹے تو شب کہیں کاٹے تو سانپ کہلاوے,kate to shab kaheñ kaate to saañp kahlāve,ک ٹ ے   ت و   ش ب   ک ہ ی ں   ک ا ٹ ے   ت و   س ا ن پ   ک ہ ل ا و ے,k a t e   t o   s h a b   k a h e ñ   k a a t e   t o   s a a ñ p   k a h l ā v e
یارو کچہ تو ذکر کرو تم اس کی قیامت بانہوں کا,yaaro kuchh to zikr karo tum us kī qayāmat bāñhoñ kā,ی ا ر و   ک چ ہ   ت و   ذ ک ر   ک ر و   ت م   ا س   ک ی   ق ی ا م ت   ب ا ن ہ و ں   ک ا,y a a r o   k u c h h   t o   z i k r   k a r o   t u m   u s   k ī   q a y ā m a t   b ā ñ h o ñ   k ā
مجہے تلاش کروگے تو پہر نہ پاؤ گے,mujhe talāsh karoge to phir na pāoge,م ج ہ ے   ت ل ا ش   ک ر و گ ے   ت و   پ ہ ر   ن ہ   پ ا ؤ   گ ے,m u j h e   t a l ā s h   k a r o g e   t o   p h i r   n a   p ā o g e
وہ لاکہ سامنے ہوں مگر اس کا کیا علاج,vo laakh sāmne hoñ magar is kā kyā ilaaj,و ہ   ل ا ک ہ   س ا م ن ے   ہ و ں   م گ ر   ا س   ک ا   ک ی ا   ع ل ا ج,v o   l a a k h   s ā m n e   h o ñ   m a g a r   i s   k ā   k y ā   i l a a j
زنہار بار عشق اٹہایا نہ جائے گا,zinhār bāreishq uthāyā na jāegā,ز ن ہ ا ر   ب ا ر   ع ش ق   ا ٹ ہ ا ی ا   ن ہ   ج ا ئ ے   گ ا,z i n h ā r   b ā r e i s h q   u t h ā y ā   n a   j ā e g ā
حاصل سے ہاتہ دہو بیٹہ اے ارزو خرامی,hāsil se haath dho baith ai ārzūḳhirāmī,ح ا ص ل   س ے   ہ ا ت ہ   د ہ و   ب ی ٹ ہ   ا ے   ا ر ز و   خ ر ا م ی,h ā s i l   s e   h a a t h   d h o   b a i t h   a i   ā r z ū ḳ h i r ā m ī
ڈاکا تو نہیں مارا چوری تو نہیں کی ہے,daakā to nahīñ maarā chorī to nahīñ kī hai,ڈ ا ک ا   ت و   ن ہ ی ں   م ا ر ا   چ و ر ی   ت و   ن ہ ی ں   ک ی   ہ ے,d a a k ā   t o   n a h ī ñ   m a a r ā   c h o r ī   t o   n a h ī ñ   k ī   h a i
خون عشاق سے جام بہرنے لگے دل سلگنے لگے داغ جلنے لگے,ḳhūneushshāq se jaam bharne lage dil sulagne lage daaġh jalne lage,خ و ن   ع ش ا ق   س ے   ج ا م   ب ہ ر ن ے   ل گ ے   د ل   س ل گ ن ے   ل گ ے   د ا غ   ج ل ن ے   ل گ ے,ḳ h ū n e u s h s h ā q   s e   j a a m   b h a r n e   l a g e   d i l   s u l a g n e   l a g e   d a a ġ h   j a l n e   l a g e
میں نے بہی اک چراغ سا دل سر شام رکہ دیا,maiñ ne bhī ik charāġh sā dil sareshām rakh diyā,م ی ں   ن ے   ب ہ ی   ا ک   چ ر ا غ   س ا   د ل   س ر   ش ا م   ر ک ہ   د ی ا,m a i ñ   n e   b h ī   i k   c h a r ā ġ h   s ā   d i l   s a r e s h ā m   r a k h   d i y ā
اپ کی بزم میں سب کچہ ہے مگر داغؔ نہیں,aap kī bazm meñ sab kuchh hai magar dāġh nahīñ,ا پ   ک ی   ب ز م   م ی ں   س ب   ک چ ہ   ہ ے   م گ ر   د ا غ ؔ   ن ہ ی ں,a a p   k ī   b a z m   m e ñ   s a b   k u c h h   h a i   m a g a r   d ā ġ h   n a h ī ñ
سرو ہے با وصف ازادی گرفتار چمن,sarv hai bāvasfeāzādī giraftārechaman,س ر و   ہ ے   ب ا   و ص ف   ا ز ا د ی   گ ر ف ت ا ر   چ م ن,s a r v   h a i   b ā v a s f e ā z ā d ī   g i r a f t ā r e c h a m a n
گر نگاہ گرم فرماتی رہی تعلیم ضبط,gar nigāhegarm farmātī rahī tālīmezabt,گ ر   ن گ ا ہ   گ ر م   ف ر م ا ت ی   ر ہ ی   ت ع ل ی م   ض ب ط,g a r   n i g ā h e g a r m   f a r m ā t ī   r a h ī   t ā l ī m e z a b t
کہ ساتہ غیر کے وہ اج ہم شراب ہوا,ki saath ġhair ke vo aaj hamsharāb huā,ک ہ   س ا ت ہ   غ ی ر   ک ے   و ہ   ا ج   ہ م   ش ر ا ب   ہ و ا,k i   s a a t h   ġ h a i r   k e   v o   a a j   h a m s h a r ā b   h u ā
مروت سے ہو بیگانہ وفا سے دور ہو کوسوں,muravvat se ho begāna vafā se duur ho kosoñ,م ر و ت   س ے   ہ و   ب ی گ ا ن ہ   و ف ا   س ے   د و ر   ہ و   ک و س و ں,m u r a v v a t   s e   h o   b e g ā n a   v a f ā   s e   d u u r   h o   k o s o ñ
صدقے میں نہ اک مرغ گرفتار بہی چہوڑا,sadqe meñ na ik murġhegiraftār bhī chhoḍā,ص د ق ے   م ی ں   ن ہ   ا ک   م ر غ   گ ر ف ت ا ر   ب ہ ی   چ ہ و ڑ ا,s a d q e   m e ñ   n a   i k   m u r ġ h e g i r a f t ā r   b h ī   c h h o ḍ ā
نہیں ہے جنس وفا کی تمہیں جو قدر نہ ہو,nahīñ hai jinsevafā kī tumheñ jo qadr na ho,ن ہ ی ں   ہ ے   ج ن س   و ف ا   ک ی   ت م ہ ی ں   ج و   ق د ر   ن ہ   ہ و,n a h ī ñ   h a i   j i n s e v a f ā   k ī   t u m h e ñ   j o   q a d r   n a   h o
ہے عاشقی میں رسم الگ سب سے بیٹہنا,hai āshiqī meñ rasm alag sab se baithnā,ہ ے   ع ا ش ق ی   م ی ں   ر س م   ا ل گ   س ب   س ے   ب ی ٹ ہ ن ا,h a i   ā s h i q ī   m e ñ   r a s m   a l a g   s a b   s e   b a i t h n ā
ترے لرزنے سے ظاہر ہے نا توانی شمع,tire larazne se zāhir hai nātavānīeshama,ت ر ے   ل ر ز ن ے   س ے   ظ ا ہ ر   ہ ے   ن ا   ت و ا ن ی   ش م ع,t i r e   l a r a z n e   s e   z ā h i r   h a i   n ā t a v ā n ī e s h a m a
خاموشی ہی سے نکلے ہے جو بات چاہیے,ḳhāmoshī hī se nikle hai jo baat chāhiye,خ ا م و ش ی   ہ ی   س ے   ن ک ل ے   ہ ے   ج و   ب ا ت   چ ا ہ ی ے,ḳ h ā m o s h ī   h ī   s e   n i k l e   h a i   j o   b a a t   c h ā h i y e
بجا ہے اج وو راجہ اگر نوبت بجا نکلے,bajā hai aaj vo raaja agar naubat bajā nikle,ب ج ا   ہ ے   ا ج   و و   ر ا ج ہ   ا گ ر   ن و ب ت   ب ج ا   ن ک ل ے,b a j ā   h a i   a a j   v o   r a a j a   a g a r   n a u b a t   b a j ā   n i k l e
کہیں ذکر رہتا ہے اقبالؔ تیرا,kahīñ zikr rahtā hai iqbāl terā,ک ہ ی ں   ذ ک ر   ر ہ ت ا   ہ ے   ا ق ب ا ل ؔ   ت ی ر ا,k a h ī ñ   z i k r   r a h t ā   h a i   i q b ā l   t e r ā
بلبل کو باغباں سے نہ صیاد سے گلہ,bulbul ko bāġhbāñ se na sayyād se gila,ب ل ب ل   ک و   ب ا غ ب ا ں   س ے   ن ہ   ص ی ا د   س ے   گ ل ہ,b u l b u l   k o   b ā ġ h b ā ñ   s e   n a   s a y y ā d   s e   g i l a
ہر بات میں اس کی گرمی ہے ہر ناز میں اس کے شوخی ہے,har baat meñ us kī garmī hai har naaz meñ us ke shoḳhī hai,ہ ر   ب ا ت   م ی ں   ا س   ک ی   گ ر م ی   ہ ے   ہ ر   ن ا ز   م ی ں   ا س   ک ے   ش و خ ی   ہ ے,h a r   b a a t   m e ñ   u s   k ī   g a r m ī   h a i   h a r   n a a z   m e ñ   u s   k e   s h o ḳ h ī   h a i
روپ کے جوت زیر پیراہن,ruup ke jot zerepairāhan,ر و پ   ک ے   ج و ت   ز ی ر   پ ی ر ا ہ ن,r u u p   k e   j o t   z e r e p a i r ā h a n
لیکن اخر باعث سستی ہمت کہل گئی,lekin āḳhir bāisesusstiehimmat khul gaī,ل ی ک ن   ا خ ر   ب ا ع ث   س س ت ی   ہ م ت   ک ہ ل   گ ئ ی,l e k i n   ā ḳ h i r   b ā i s e s u s s t i e h i m m a t   k h u l   g a ī
روگ ایسے بہی غم یار سے لگ جاتے ہیں,rog aise bhī ġhameyār se lag jaate haiñ,ر و گ   ا ی س ے   ب ہ ی   غ م   ی ا ر   س ے   ل گ   ج ا ت ے   ہ ی ں,r o g   a i s e   b h ī   ġ h a m e y ā r   s e   l a g   j a a t e   h a i ñ
نہ رہا جنون رخ وفا یہ رسن یہ دار کرو گے کیا,na rahā junūneruḳhevafā ye rasan ye daar karoge kyā,ن ہ   ر ہ ا   ج ن و ن   ر خ   و ف ا   ی ہ   ر س ن   ی ہ   د ا ر   ک ر و   گ ے   ک ی ا,n a   r a h ā   j u n ū n e r u ḳ h e v a f ā   y e   r a s a n   y e   d a a r   k a r o g e   k y ā
اس پارک میں اخر اے اکبرؔ میں نے تو ٹہلنا چہوڑ دیا,us park meñ āḳhir ai akbar maiñ ne to tahalnā chhoḍ diyā,ا س   پ ا ر ک   م ی ں   ا خ ر   ا ے   ا ک ب ر ؔ   م ی ں   ن ے   ت و   ٹ ہ ل ن ا   چ ہ و ڑ   د ی ا,u s   p a r k   m e ñ   ā ḳ h i r   a i   a k b a r   m a i ñ   n e   t o   t a h a l n ā   c h h o ḍ   d i y ā
رند ازاد ہیں ہم کو شب فرقت کیسی,rindeāzād haiñ ham ko shabefurqat kaisī,ر ن د   ا ز ا د   ہ ی ں   ہ م   ک و   ش ب   ف ر ق ت   ک ی س ی,r i n d e ā z ā d   h a i ñ   h a m   k o   s h a b e f u r q a t   k a i s ī
زیست سے تنگ ہو اے داغؔ تو جیتے کیوں ہو,ziist se tañg ho ai dāġh to jiite kyuuñ ho,ز ی س ت   س ے   ت ن گ   ہ و   ا ے   د ا غ ؔ   ت و   ج ی ت ے   ک ی و ں   ہ و,z i i s t   s e   t a ñ g   h o   a i   d ā ġ h   t o   j i i t e   k y u u ñ   h o
غم وہ افسانہ کہ اشفتہ بیانی مانگے,ġham vo afsāna ki āshuftabayānī māñge,غ م   و ہ   ا ف س ا ن ہ   ک ہ   ا ش ف ت ہ   ب ی ا ن ی   م ا ن گ ے,ġ h a m   v o   a f s ā n a   k i   ā s h u f t a b a y ā n ī   m ā ñ g e
جنگل کی ہوائیں ا رہی ہیں,jañgal kī havāeñ aa rahī haiñ,ج ن گ ل   ک ی   ہ و ا ئ ی ں   ا   ر ہ ی   ہ ی ں,j a ñ g a l   k ī   h a v ā e ñ   a a   r a h ī   h a i ñ
کچہ تم کو ہماری بہی تقصیر نظر ائی,kuchh tum ko hamārī bhī taqsīr nazar aaī,ک چ ہ   ت م   ک و   ہ م ا ر ی   ب ہ ی   ت ق ص ی ر   ن ظ ر   ا ئ ی,k u c h h   t u m   k o   h a m ā r ī   b h ī   t a q s ī r   n a z a r   a a ī
اب تو رونے سے بہی دل دکہتا ہے,ab to rone se bhī dil dukhtā hai,ا ب   ت و   ر و ن ے   س ے   ب ہ ی   د ل   د ک ہ ت ا   ہ ے,a b   t o   r o n e   s e   b h ī   d i l   d u k h t ā   h a i
جو رہ عشق میں قدم رکہیں,jo raheishq meñ qadam rakkheñ,ج و   ر ہ   ع ش ق   م ی ں   ق د م   ر ک ہ ی ں,j o   r a h e i s h q   m e ñ   q a d a m   r a k k h e ñ
رہی نہ طاقت گفتار اور اگر ہو بہی,rahī na tāqateguftār aur agar ho bhī,ر ہ ی   ن ہ   ط ا ق ت   گ ف ت ا ر   ا و ر   ا گ ر   ہ و   ب ہ ی,r a h ī   n a   t ā q a t e g u f t ā r   a u r   a g a r   h o   b h ī
وہ زمانہ گزر گیا کب کا,vo zamāna guzar gayā kab kā,و ہ   ز م ا ن ہ   گ ز ر   گ ی ا   ک ب   ک ا,v o   z a m ā n a   g u z a r   g a y ā   k a b   k ā
ابر مت ہم چشم ہونا چشم دریا بار سے,abr mat hamchashm honā chashmedariyābār se,ا ب ر   م ت   ہ م   چ ش م   ہ و ن ا   چ ش م   د ر ی ا   ب ا ر   س ے,a b r   m a t   h a m c h a s h m   h o n ā   c h a s h m e d a r i y ā b ā r   s e
زمانہ واردات قلب سننے کو ترستا ہے,zamāna vārdāteqalb sunñe ko tarastā hai,ز م ا ن ہ   و ا ر د ا ت   ق ل ب   س ن ن ے   ک و   ت ر س ت ا   ہ ے,z a m ā n a   v ā r d ā t e q a l b   s u n ñ e   k o   t a r a s t ā   h a i
عشق ہی عشق ہے جہاں دیکہو,ishq hī ishq hai jahāñ dekho,ع ش ق   ہ ی   ع ش ق   ہ ے   ج ہ ا ں   د ی ک ہ و,i s h q   h ī   i s h q   h a i   j a h ā ñ   d e k h o
ساقی سنبہالنا کہ ہے لبریز جام مے,saaqī sambhālnā ki hai labrez jāmemai,س ا ق ی   س ن ب ہ ا ل ن ا   ک ہ   ہ ے   ل ب ر ی ز   ج ا م   م ے,s a a q ī   s a m b h ā l n ā   k i   h a i   l a b r e z   j ā m e m a i
بعد مدت کے تمنا مری بر ائی ہے,baad muddat ke tamannā mirī bar aaī hai,ب ع د   م د ت   ک ے   ت م ن ا   م ر ی   ب ر   ا ئ ی   ہ ے,b a a d   m u d d a t   k e   t a m a n n ā   m i r ī   b a r   a a ī   h a i
غم سے کہیں نجات ملے چین پائیں ہم,ġham se kahīñ najāt mile chain paaeñ ham,غ م   س ے   ک ہ ی ں   ن ج ا ت   م ل ے   چ ی ن   پ ا ئ ی ں   ہ م,ġ h a m   s e   k a h ī ñ   n a j ā t   m i l e   c h a i n   p a a e ñ   h a m
جنگل میں دور تک کوئی دشمن نہ کوئی دوست,jañgal meñ duur tak koī dushman na koī dost,ج ن گ ل   م ی ں   د و ر   ت ک   ک و ئ ی   د ش م ن   ن ہ   ک و ئ ی   د و س ت,j a ñ g a l   m e ñ   d u u r   t a k   k o ī   d u s h m a n   n a   k o ī   d o s t
تیر بہی سینۂ بسمل سے پرافشاں نکلا,tiir bhī sīnaebismil se parafshāñ niklā,ت ی ر   ب ہ ی   س ی ن ۂ   ب س م ل   س ے   پ ر ا ف ش ا ں   ن ک ل ا,t i i r   b h ī   s ī n a e b i s m i l   s e   p a r a f s h ā ñ   n i k l ā
دسترس میں ہیں عناصر کے ارادے کس کے,dastaras meñ haiñ anāsir ke irāde kis ke,د س ت ر س   م ی ں   ہ ی ں   ع ن ا ص ر   ک ے   ا ر ا د ے   ک س   ک ے,d a s t a r a s   m e ñ   h a i ñ   a n ā s i r   k e   i r ā d e   k i s   k e
نہیں نہیں یہ خبر دشمنوں نے دی ہوگی,nahīñ nahīñ ye ḳhabar dushmanoñ ne dī hogī,ن ہ ی ں   ن ہ ی ں   ی ہ   خ ب ر   د ش م ن و ں   ن ے   د ی   ہ و گ ی,n a h ī ñ   n a h ī ñ   y e   ḳ h a b a r   d u s h m a n o ñ   n e   d ī   h o g ī
نہ اس کو سننے کی فرصت کہوں تو کس سے کہوں,na us ko sunñe kī fursat kahūñ to kis se kahūñ,ن ہ   ا س   ک و   س ن ن ے   ک ی   ف ر ص ت   ک ہ و ں   ت و   ک س   س ے   ک ہ و ں,n a   u s   k o   s u n ñ e   k ī   f u r s a t   k a h ū ñ   t o   k i s   s e   k a h ū ñ
وہ شخص جس کے لیے شعر کہہ رہا ہوں نصیرؔ,vo shaḳhs jis ke liye sher kah rahā huuñ nasīr,و ہ   ش خ ص   ج س   ک ے   ل ی ے   ش ع ر   ک ہ ہ   ر ہ ا   ہ و ں   ن ص ی ر ؔ,v o   s h a ḳ h s   j i s   k e   l i y e   s h e r   k a h   r a h ā   h u u ñ   n a s ī r
لاکہ طرح سے نام ترا,laakh tarah se naam tirā,ل ا ک ہ   ط ر ح   س ے   ن ا م   ت ر ا,l a a k h   t a r a h   s e   n a a m   t i r ā
وہ ولولہ وہ شوق وہ ارمان تو گیا,vo valvala vo shauq vo armān to gayā,و ہ   و ل و ل ہ   و ہ   ش و ق   و ہ   ا ر م ا ن   ت و   گ ی ا,v o   v a l v a l a   v o   s h a u q   v o   a r m ā n   t o   g a y ā
دام ہر موج میں ہے حلقۂ صد کام نہنگ,dāmeharmauj meñ hai halqaesadkāmenahañg,د ا م   ہ ر   م و ج   م ی ں   ہ ے   ح ل ق ۂ   ص د   ک ا م   ن ہ ن گ,d ā m e h a r m a u j   m e ñ   h a i   h a l q a e s a d k ā m e n a h a ñ g
اکثر ہمارے ساتہ کے بیمار مر گئے,aksar hamāre saath ke bīmār mar gae,ا ک ث ر   ہ م ا ر ے   س ا ت ہ   ک ے   ب ی م ا ر   م ر   گ ئ ے,a k s a r   h a m ā r e   s a a t h   k e   b ī m ā r   m a r   g a e
عشق کا اغاز بہی شائستۂ انجام تہا,ishq kā āġhāz bhī shāistaeanjām thā,ع ش ق   ک ا   ا غ ا ز   ب ہ ی   ش ا ئ س ت ۂ   ا ن ج ا م   ت ہ ا,i s h q   k ā   ā ġ h ā z   b h ī   s h ā i s t a e a n j ā m   t h ā
خیر اقرار محبت نہ ہو انکار تو ہے,ḳhair iqrāremohabbat na ho inkār to hai,خ ی ر   ا ق ر ا ر   م ح ب ت   ن ہ   ہ و   ا ن ک ا ر   ت و   ہ ے,ḳ h a i r   i q r ā r e m o h a b b a t   n a   h o   i n k ā r   t o   h a i
زہر ملتا ہی نہیں مجہ کو ستم گر ورنہ,zahr miltā hī nahīñ mujh ko sitamgar varna,ز ہ ر   م ل ت ا   ہ ی   ن ہ ی ں   م ج ہ   ک و   س ت م   گ ر   و ر ن ہ,z a h r   m i l t ā   h ī   n a h ī ñ   m u j h   k o   s i t a m g a r   v a r n a
ترے خیال میں تجہ کو بہی بہول جانا تہا,tire ḳhayāl meñ tujh ko bhī bhuul jaanā thā,ت ر ے   خ ی ا ل   م ی ں   ت ج ہ   ک و   ب ہ ی   ب ہ و ل   ج ا ن ا   ت ہ ا,t i r e   ḳ h a y ā l   m e ñ   t u j h   k o   b h ī   b h u u l   j a a n ā   t h ā
کوئی عرضی گزاری جا رہی ہے,koī arzī guzārī jā rahī hai,ک و ئ ی   ع ر ض ی   گ ز ا ر ی   ج ا   ر ہ ی   ہ ے,k o ī   a r z ī   g u z ā r ī   j ā   r a h ī   h a i
میں اپنے مٹنے کے غم میں نالاں ادہر زمانہ ہے شاد و خنداں,maiñ apne mitne ke ġham meñ nālāñ udhar zamāna hai shaad o ḳhandāñ,م ی ں   ا پ ن ے   م ٹ ن ے   ک ے   غ م   م ی ں   ن ا ل ا ں   ا د ہ ر   ز م ا ن ہ   ہ ے   ش ا د   و   خ ن د ا ں,m a i ñ   a p n e   m i t n e   k e   ġ h a m   m e ñ   n ā l ā ñ   u d h a r   z a m ā n a   h a i   s h a a d   o   ḳ h a n d ā ñ
یا رب کسے ہے ناقہ ہر غنچہ اس چمن کا,yārab kase hai naaqa har ġhuncha is chaman kā,ی ا   ر ب   ک س ے   ہ ے   ن ا ق ہ   ہ ر   غ ن چ ہ   ا س   چ م ن   ک ا,y ā r a b   k a s e   h a i   n a a q a   h a r   ġ h u n c h a   i s   c h a m a n   k ā
یکسر وہ استخوان شکستوں سے چور تہا,yaksar vo ustuḳhvān shikastoñ se chuur thā,ی ک س ر   و ہ   ا س ت خ و ا ن   ش ک س ت و ں   س ے   چ و ر   ت ہ ا,y a k s a r   v o   u s t u ḳ h v ā n   s h i k a s t o ñ   s e   c h u u r   t h ā
قلق دیکہیے کیا ہوا چاہتا ہے,qalaq dekhiye kyā huā chāhtā hai,ق ل ق   د ی ک ہ ی ے   ک ی ا   ہ و ا   چ ا ہ ت ا   ہ ے,q a l a q   d e k h i y e   k y ā   h u ā   c h ā h t ā   h a i
لیکن یہ قیامت کی تم نے گہر سے جو نکلنا چہوڑ دیا,lekin ye qayāmat kī tum ne ghar se jo nikalnā chhoḍ diyā,ل ی ک ن   ی ہ   ق ی ا م ت   ک ی   ت م   ن ے   گ ہ ر   س ے   ج و   ن ک ل ن ا   چ ہ و ڑ   د ی ا,l e k i n   y e   q a y ā m a t   k ī   t u m   n e   g h a r   s e   j o   n i k a l n ā   c h h o ḍ   d i y ā
ٹپکنے لگی ان نگاہوں سے مستی,tapakne lagī un nigāhoñ se mastī,ٹ پ ک ن ے   ل گ ی   ا ن   ن گ ا ہ و ں   س ے   م س ت ی,t a p a k n e   l a g ī   u n   n i g ā h o ñ   s e   m a s t ī
طلب گار نگاہ با حیا ہوں,talabgārenigāhebāhayā huuñ,ط ل ب   گ ا ر   ن گ ا ہ   ب ا   ح ی ا   ہ و ں,t a l a b g ā r e n i g ā h e b ā h a y ā   h u u ñ
عبرت سے پوچہ درد پریشانیٔ نگاہ,ibrat se pūchh dardepareshānīenigāh,ع ب ر ت   س ے   پ و چ ہ   د ر د   پ ر ی ش ا ن ی ٔ   ن گ ا ہ,i b r a t   s e   p ū c h h   d a r d e p a r e s h ā n ī e n i g ā h
چمن پہ غارت گلچیں سے جانے کیا گزری,chaman pe ġhārategulchīñ se jaane kyā guzrī,چ م ن   پ ہ   غ ا ر ت   گ ل چ ی ں   س ے   ج ا ن ے   ک ی ا   گ ز ر ی,c h a m a n   p e   ġ h ā r a t e g u l c h ī ñ   s e   j a a n e   k y ā   g u z r ī
اتش پرست کہتے ہیں اہل جہاں مجہے,ātishparast kahte haiñ ahlejahāñ mujhe,ا ت ش   پ ر س ت   ک ہ ت ے   ہ ی ں   ا ہ ل   ج ہ ا ں   م ج ہ ے,ā t i s h p a r a s t   k a h t e   h a i ñ   a h l e j a h ā ñ   m u j h e
زہے سوز غم ادم خوشا ساز دل ادم,zahe sozeġhameādam ḳhushā sāzedileādam,ز ہ ے   س و ز   غ م   ا د م   خ و ش ا   س ا ز   د ل   ا د م,z a h e   s o z e ġ h a m e ā d a m   ḳ h u s h ā   s ā z e d i l e ā d a m
ہے وہی عارض لیلی وہی شیریں کا دہن,hai vahī ārizelailā vahī shīrīñ kā dahan,ہ ے   و ہ ی   ع ا ر ض   ل ی ل ی   و ہ ی   ش ی ر ی ں   ک ا   د ہ ن,h a i   v a h ī   ā r i z e l a i l ā   v a h ī   s h ī r ī ñ   k ā   d a h a n
جو ہوگی عمر بہر کی راہ تو دم بہر میں اویں گے,jo hogī umr bhar kī raah to dam bhar meñ āveñge,ج و   ہ و گ ی   ع م ر   ب ہ ر   ک ی   ر ا ہ   ت و   د م   ب ہ ر   م ی ں   ا و ی ں   گ ے,j o   h o g ī   u m r   b h a r   k ī   r a a h   t o   d a m   b h a r   m e ñ   ā v e ñ g e
عمر بہر کس کس کے حصے کا سفر میں نے کیا,umrbhar kis kis ke hisse kā safar maiñ ne kiyā,ع م ر   ب ہ ر   ک س   ک س   ک ے   ح ص ے   ک ا   س ف ر   م ی ں   ن ے   ک ی ا,u m r b h a r   k i s   k i s   k e   h i s s e   k ā   s a f a r   m a i ñ   n e   k i y ā
چشم دریا ریز ہے میزاب سرکار چمن,chashmedariyārez hai mīzābesarkārechaman,چ ش م   د ر ی ا   ر ی ز   ہ ے   م ی ز ا ب   س ر ک ا ر   چ م ن,c h a s h m e d a r i y ā r e z   h a i   m ī z ā b e s a r k ā r e c h a m a n
یہ رعایۂ ہند تبہ ہوئی کہوں کیا جو ان پہ جفا ہوئی,ye reāyāehind tabah huī kahūñ kyā jo in pe jafā huī,ی ہ   ر ع ا ی ہ ٔ   ہ ن د   ت ب ہ   ہ و ئ ی   ک ہ و ں   ک ی ا   ج و   ا ن   پ ہ   ج ف ا   ہ و ئ ی,y e   r e ā y ā e h i n d   t a b a h   h u ī   k a h ū ñ   k y ā   j o   i n   p e   j a f ā   h u ī
بہتے دریا سے جہاں ہو گے ٹہہر جاؤ گے,bahte dariyā se jahāñ hoge thahar jāoge,ب ہ ت ے   د ر ی ا   س ے   ج ہ ا ں   ہ و   گ ے   ٹ ہ ہ ر   ج ا ؤ   گ ے,b a h t e   d a r i y ā   s e   j a h ā ñ   h o g e   t h a h a r   j ā o g e
کہا میں نے کہ نظمؔ مبتلا مرتا ہے حسرت میں,kahā maiñ ne ki nazmemubtalā martā hai hasrat meñ,ک ہ ا   م ی ں   ن ے   ک ہ   ن ظ م ؔ   م ب ت ل ا   م ر ت ا   ہ ے   ح س ر ت   م ی ں,k a h ā   m a i ñ   n e   k i   n a z m e m u b t a l ā   m a r t ā   h a i   h a s r a t   m e ñ
کن بہانوں سے طبیعت راہ پر لائی گئی,kin bahānoñ se tabīat raah par laaī gaī,ک ن   ب ہ ا ن و ں   س ے   ط ب ی ع ت   ر ا ہ   پ ر   ل ا ئ ی   گ ئ ی,k i n   b a h ā n o ñ   s e   t a b ī a t   r a a h   p a r   l a a ī   g a ī
خود سے مایوس ہو کے بیٹہا ہوں,ḳhud se māyūs ho ke baithā huuñ,خ و د   س ے   م ا ی و س   ہ و   ک ے   ب ی ٹ ہ ا   ہ و ں,ḳ h u d   s e   m ā y ū s   h o   k e   b a i t h ā   h u u ñ
ایک وہ دن جب اؤ کہیلیں ساری گلیاں کہتی تہیں,ek vo din jab aao kheleñ saarī galiyāñ kahtī thiiñ,ا ی ک   و ہ   د ن   ج ب   ا ؤ   ک ہ ی ل ی ں   س ا ر ی   گ ل ی ا ں   ک ہ ت ی   ت ہ ی ں,e k   v o   d i n   j a b   a a o   k h e l e ñ   s a a r ī   g a l i y ā ñ   k a h t ī   t h i i ñ
شادمانی کی انکہ پر نم ہے,shādmānī kī aañkh purnam hai,ش ا د م ا ن ی   ک ی   ا ن ک ہ   پ ر   ن م   ہ ے,s h ā d m ā n ī   k ī   a a ñ k h   p u r n a m   h a i
زرد رو شہر میں پہریے گا گلیوں میں نے گل چنیے گا,zardrū shahr meñ phiriyegā galiyoñ meñ ne gul chuniyegā,ز ر د   ر و   ش ہ ر   م ی ں   پ ہ ر ی ے   گ ا   گ ل ی و ں   م ی ں   ن ے   گ ل   چ ن ی ے   گ ا,z a r d r ū   s h a h r   m e ñ   p h i r i y e g ā   g a l i y o ñ   m e ñ   n e   g u l   c h u n i y e g ā
