Urdu Text,Roman Transliteration
اج سوئے ہیں تہ خاک نہ جانے یہاں کتنے,aaj soe haiñ taheḳhāk na jaane yahāñ kitne
کوئی شعلہ کوئی شبنم کوئی مہتاب جبیں تہا,koī shola koī shabnam koī mahtābjabīñ thā
اب وہ پہرتے ہیں اسی شہر میں تنہا لیے دل کو,ab vo phirte haiñ isī shahr meñ tanhā liye dil ko
اک زمانے میں مزاج ان کا سر عرش بریں تہا,ik zamāne meñ mizāj un kā sarearshebarīñ thā
چہوڑنا گہر کا ہمیں یاد ہے جالبؔ نہیں بہولے,chhoḍnā ghar kā hameñ yaad hai jālib nahīñ bhūle
تہا وطن ذہن میں اپنے کوئی زنداں تو نہیں تہا,thā vatan zehn meñ apne koī zindāñ to nahīñ thā
اس نے جب ہنس کے نمسکار کیا,us ne jab hañs ke namaskār kiyā
مجہ کو انسان سے اوتار کیا,mujh ko insān se autār kiyā
دشت غربت میں دل ویراں نے,dashteġhurbat meñ dilevīrāñ ne
یاد جمنا کو کئی بار کیا,yaad jamunā ko kaī baar kiyā
پیار کی بات نہ پوچہو یارو,pyaar kī baat na pūchho yaaro
ہم نے کس کس سے نہیں پیار کیا,ham ne kis kis se nahīñ pyaar kiyā
کتنی خوابیدہ تمناؤں کو,kitnī ḳhvābīda tamannāoñ ko
اس کی اواز نے بیدار کیا,us kī āvāz ne bedār kiyā
ہم پجاری ہیں بتوں کے جالبؔ,ham pujārī haiñ butoñ ke jālib
ہم نے کعبے میں بہی اقرار کیا,ham ne kaabe meñ bhī iqrār kiyā
اس رعونت سے وہ جیتے ہیں کہ مرنا ہی نہیں,us raūnat se vo jiite haiñ ki marnā hī nahīñ
تخت پر بیٹہے ہیں یوں جیسے اترنا ہی نہیں,taḳht par baithe haiñ yuuñ jaise utarnā hī nahīñ
یوں مہ و انجم کی وادی میں اڑے پہرتے ہیں وہ,yuuñ mahoanjum kī vaadī meñ uḍe phirte haiñ vo
خاک کے ذروں پہ جیسے پاؤں دہرنا ہی نہیں,ḳhaak ke zarroñ pe jaise paañv dharnā hī nahīñ
ان کا دعوی ہے کہ سورج بہی انہی کا ہے غلام,un kā daavā hai ki sūraj bhī unhī kā hai ġhulām
شب جو ہم پر ائی ہے اس کو گزرنا ہی نہیں,shab jo ham par aaī hai us ko guzarnā hī nahīñ
کیا علاج اس کا اگر ہو مدعا ان کا یہی,kyā ilaaj us kā agar ho muddaā un kā yahī
اہتمام رنگ و بو گلشن میں کرنا ہی نہیں,ehtimām rañgobū gulshan meñ karnā hī nahīñ
ظلم سے ہیں برسر پیکار ازادی پسند,zulm se haiñ barsarepaikār āzādīpasand
ان پہاڑوں میں جہاں پر کوئی جہرنا ہی نہیں,un pahāḍoñ meñ jahāñ par koī jharnā hī nahīñ
دل بہی ان کے ہیں سیہ خوراک زنداں کی طرح,dil bhī un ke haiñ siyah ḳhūrākezindāñ kī tarah
ان سے اپنا غم بیاں اب ہم کو کرنا ہی نہیں,un se apnā ġham bayāñ ab ham ko karnā hī nahīñ
انتہا کر لیں ستم کی لوگ ابہی ہیں خواب میں,intihā kar leñ sitam kī log abhī haiñ ḳhvāb meñ
جاگ اٹہے جب لوگ تو ان کو ٹہہرنا ہی نہیں,jaag utthe jab log to un ko thaharnā hī nahīñ
وہی حالات ہیں فقیروں کے,vahī hālāt haiñ faqīroñ ke
دن پہرے ہیں فقط وزیروں کے,din phire haiñ faqat vazīroñ ke
اپنا حلقہ ہے حلقۂ زنجیر,apnā halqa hai halqaezanjīr
اور حلقے ہیں سب امیروں کے,aur halqe haiñ sab amīroñ ke
ہر بلاول ہے دیس کا مقروض,har bilāval hai des kā maqrūz
پاؤں ننگے ہیں بے نظیروں کے,paañv nañge haiñ benazīroñ ke
وہی اہل وفا کی صورت حال,vahī ahlevafā kī sūratehāl
وارے نیارے ہیں بے ضمیروں کے,vaare nyāre haiñ bezamīroñ ke
سازشیں ہیں وہی خلاف عوام,sāzisheñ haiñ vahī ḳhilāfeavām
مشورے ہیں وہی مشیروں کے,mashvare haiñ vahī mushīroñ ke
بیڑیاں سامراج کی ہیں وہی,beḍiyāñ sāmrāj kī haiñ vahī
وہی دن رات ہیں اسیروں کے,vahī dinrāt haiñ asīroñ ke
وطن کو کچہ نہیں خطرہ نظام زر ہے خطرے میں,vatan ko kuchh nahīñ ḳhatra nizāmezar hai ḳhatre meñ
حقیقت میں جو رہزن ہے وہی رہبر ہے خطرے میں,haqīqat meñ jo rahzan hai vahī rahbar hai ḳhatre meñ
جو بیٹہا ہے صف ماتم بچہائے مرگ ظلمت پر,jo baithā hai safemātam bichhāe margezulmat par
وہ نوحہ گر ہے خطرے میں وہ دانشور ہے خطرے میں,vo nauhagar hai ḳhatre meñ vo dānishvar hai ḳhatre meñ
اگر تشویش لاحق ہے تو سلطانوں کو لاحق ہے,agar tashvīsh lāhaq hai to sultānoñ ko lāhaq hai
نہ تیرا گہر ہے خطرے میں نہ میرا گہر ہے خطرے میں,na terā ghar hai ḳhatre meñ na merā ghar hai ḳhatre meñ
جہاں اقبالؔ بہی نذر خط تنسیخ ہو جالبؔ,jahāñ iqbāl bhī nazreḳhatetansīḳh ho jālib
وہاں تجہ کو شکایت ہے ترا جوہر ہے خطرے میں,vahāñ tujh ko shikāyat hai tirā jauhar hai ḳhatre meñ
وہ دیکہنے مجہے انا تو چاہتا ہوگا,vo dekhne mujhe aanā to chāhtā hogā
مگر زمانے کی باتوں سے ڈر گیا ہوگا,magar zamāne kī bātoñ se dar gayā hogā
اسے تہا شوق بہت مجہ کو اچہا رکہنے کا,use thā shauq bahut mujh ko achchhā rakhne kā
یہ شوق اوروں کو شاید برا لگا ہوگا,ye shauq auroñ ko shāyad burā lagā hogā
کبہی نہ حد ادب سے بڑہے تہے دیدہ و دل,kabhī na haddeadab se baḍhe the diida o dil
وہ مجہ سے کس لیے کسی بات پر خفا ہوگا,vo mujh se kis liye kisī baat par ḳhafā hogā
مجہے گمان ہے یہ بہی یقین کی حد تک,mujhe gumān hai ye bhī yaqīn kī had tak
کسی سے بہی نہ وہ میری طرح ملا ہوگا,kisī se bhī na vo merī tarah milā hogā
کبہی کبہی تو ستاروں کی چہاؤں میں وہ بہی,kabhī kabhī to sitāroñ kī chhāñv meñ vo bhī
مرے خیال میں کچہ دیر جاگتا ہوگا,mire ḳhayāl meñ kuchh der jāgtā hogā
وہ اس کا سادہ و معصوم والہانہ پن,vo us kā saada o maasūm vālehānapan
کسی بہی جگ میں کوئی دیوتا بہی کیا ہوگا,kisī bhī jug meñ koī devtā bhī kyā hogā
نہیں وہ ایا تو جالبؔ گلہ نہ کر اس کا,nahīñ vo aayā to jālib gila na kar us kā
نہ جانے کیا اسے درپیش مسئلہ ہوگا,najāne kyā use darpesh masala hogā
یہ اور بات تیری گلی میں نہ ائیں ہم,ye aur baat terī galī meñ na aaeñ ham
لیکن یہ کیا کہ شہر ترا چہوڑ جائیں ہم,lekin ye kyā ki shahr tirā chhoḍ jaaeñ ham
مدت ہوئی ہے کوئے بتاں کی طرف گئے,muddat huī hai kūebutāñ kī taraf gae
اوارگی سے دل کو کہاں تک بچائیں ہم,āvārgī se dil ko kahāñ tak bachāeñ ham
شاید بہ قید زیست یہ ساعت نہ ا سکے,shāyad baqaidezīst ye saaat na aa sake
تم داستان شوق سنو اور سنائیں ہم,tum dāstāneshauq suno aur sunāeñ ham
بے نور ہو چکی ہے بہت شہر کی فضا,benūr ho chukī hai bahut shahr kī fazā
تاریک راستوں میں کہیں کہو نہ جائیں ہم,tārīk rāstoñ meñ kahīñ kho na jaaeñ ham
اس کے بغیر اج بہت جی اداس ہے,us ke baġhair aaj bahut jī udaas hai
جالبؔ چلو کہیں سے اسے ڈہونڈ لائیں ہم,jālib chalo kahīñ se use dhūñdh laaeñ ham
یہ جو شب کے ایوانوں میں اک ہلچل اک حشر بپا ہے,ye jo shab ke aivānoñ meñ ik halchal ik hashr bapā hai
یہ جو اندہیرا سمٹ رہا ہے یہ جو اجالا پہیل رہا ہے,ye jo añdherā simat rahā hai ye jo ujālā phail rahā hai
یہ جو ہر دکہ سہنے والا دکہ کا مداوا جان گیا ہے,ye jo har dukh sahne vaalā dukh kā mudāvā jaan gayā hai
مظلوموں مجبوروں کا غم یہ جو مرے شعروں میں ڈہلا ہے,mazlūmoñ majbūroñ kā ġham ye jo mire sheroñ meñ dhalā hai
یہ جو مہک گلشن گلشن ہے یہ جو چمک عالم عالم ہے,ye jo mahak gulshan gulshan hai ye jo chamak aalam aalam hai
مارکسزم ہے مارکسزم ہے مارکسزم ہے مارکسزم ہے,marxism hai marxism hai marxism hai marxism hai
یہ سوچ کر نہ مائل فریاد ہم ہوئے,ye soch kar na māilefariyād ham hue
اباد کب ہوئے تہے کہ برباد ہم ہوئے,ābād kab hue the ki barbād ham hue
ہوتا ہے شاد کام یہاں کون با ضمیر,hotā hai shādkām yahāñ kaun bāzamīr
ناشاد ہم ہوئے تو بہت شاد ہم ہوئے,nāshād ham hue to bahut shaad ham hue
پرویز کے جلال سے ٹکرائے ہم بہی ہیں,parvez ke jalāl se takrāe ham bhī haiñ
یہ اور بات ہے کہ نہ فرہاد ہم ہوئے,ye aur baat hai ki na farhād ham hue
کچہ ایسے بہا گئے ہمیں دنیا کے درد و غم,kuchh aaise bhā gae hameñ duniyā ke dardoġham
کوئے بتاں میں بہولی ہوئی یاد ہم ہوئے,kūebutāñ meñ bhūlī huī yaad ham hue
جالبؔ تمام عمر ہمیں یہ گماں رہا,jālib tamām umr hameñ ye gumāñ rahā
اس زلف کے خیال سے ازاد ہم ہوئے,us zulf ke ḳhayāl se āzād ham hue
یوں وہ ظلمت سے رہا دست و گریباں یارو,yuuñ vo zulmat se rahā dastogarebāñ yaaro
اس سے لرزاں تہے بہت شب کے نگہباں یارو,us se larzāñ the bahut shab ke nigahbāñ yaaro
اس نے ہر گام دیا حوصلۂ تازہ ہمیں,us ne hargām diyā hauslaetāza hameñ
وہ نہ اک پل بہی رہا ہم سے گریزاں یارو,vo na ik pal bhī rahā ham se gurezāñ yaaro
اس نے مانی نہ کبہی تیرگیٔ شب سے شکست,us ne maanī na kabhī tīrgīeshab se shikast
دل اندہیروں میں رہا اس کا فروزاں یارو,dil añdheroñ meñ rahā us kā farozāñ yaaro
اس کو ہر حال میں جینے کی ادا اتی تہی,us ko har haal meñ jiine kī adā aatī thī
وہ نہ حالات سے ہوتا تہا پریشاں یارو,vo na hālāt se hotā thā pareshāñ yaaro
اس نے باطل سے نہ تا زیست کیا سمجہوتہ,us ne bātil se na tāzīst kiyā samjhauta
دہر میں اس سا کہاں صاحب ایماں یارو,dahr meñ us sā kahāñ sāhabeīmāñ yaaro
اس کو تہی کشمکش دیر و حرم سے نفرت,us ko thī kashmakashedairoharam se nafrat
اس سا ہندو نہ کوئی اس سا مسلماں یارو,us sā hindū na koī us sā musalmāñ yaaro
اس نے سلطانیٔ جمہور کے نغمے لکہے,us ne sulatānīejamhūr ke naġhme likkhe
روح شاہوں کی رہی اس سے پریشاں یارو,ruuh shāhoñ kī rahī us se pareshāñ yaaro
اپنے اشعار کی شمعوں سے اجالا کر کے,apne ashār kī shamoñ se ujālā kar ke
کر گیا شب کا سفر کتنا وہ اساں یارو,kar gayā shab kā safar kitnā vo āsāñ yaaro
اس کے گیتوں سے زمانے کو سنواریں یارو,us ke gītoñ se zamāne ko sañvāreñ yaaro
روح ساحرؔ کو اگر کرنا ہے شاداں یارو,rūhesāhir ko agar karnā hai shādāñ yaaro
ذرے ہی سہی کوہ سے ٹکرا تو گئے ہم,zarre hī sahī koh se takrā to gae ham
دل لے کے سر عرصۂ غم ا تو گئے ہم,dil le ke sarearsaeġham aa to gae ham
اب نام رہے یا نہ رہے عشق میں اپنا,ab naam rahe yā na rahe ishq meñ apnā
روداد وفا دار پہ دہرا تو گئے ہم,rūdādevafā daar pe dohrā to gae ham
کہتے تہے جو اب کوئی نہیں جاں سے گزرتا,kahte the jo ab koī nahīñ jaañ se guzartā
لو جاں سے گزر کر انہیں جہٹلا تو گئے ہم,lo jaañ se guzar kar unheñ jhutlā to gae ham
جاں اپنی گنوا کر کبہی گہر اپنا جلا کر,jaañ apnī gañvā kar kabhī ghar apnā jalā kar
دل ان کا ہر اک طور سے بہلا تو گئے ہم,dil un kā har ik taur se bahlā to gae ham
کچہ اور ہی عالم تہا پس چہرۂ یاراں,kuchh aur hī aalam thā pasechehraeyārāñ
رہتا جو یونہی راز اسے پا تو گئے ہم,rahtā jo yūñhī raaz use pā to gae ham
اب سوچ رہے ہیں کہ یہ ممکن ہی نہیں ہے,ab soch rahe haiñ ki ye mumkin hī nahīñ hai
پہر ان سے نہ ملنے کی قسم کہا تو گئے ہم,phir un se na milne kī qasam khā to gae ham
اٹہیں کہ نہ اٹہیں یہ رضا ان کی ہے جالبؔ,uttheñ ki na uttheñ ye razā un kī hai jālib
لوگوں کو سر دار نظر ا تو گئے ہم,logoñ ko saredār nazar aa to gae ham
ائے کیا کیا یاد نظر جب پڑتی ان دالانوں پر,aae kyā kyā yaad nazar jab paḍtī in dālānoñ par
اس کا کاغذ چپکا دینا گہر کے روشن دانوں پر,us kā kāġhaz chipkā denā ghar ke raushandānoñ par
اج بہی جیسے شانے پر تم ہاتہ مرے رکہ دیتی ہو,aaj bhī jaise shāne par tum haath mire rakh detī ho
چلتے چلتے رک جاتا ہوں ساری کی دوکانوں پر,chalte chalte ruk jaatā huuñ saarī kī dūkānoñ par
برکہا کی تو بات ہی چہوڑو چنچل ہے پروائی بہی,barkhā kī to baat hī chhoḍo chanchal hai purvāī bhī
جانے کس کا سبز دوپٹا پہینک گئی ہے دہانوں پر,jaane kis kā sabz dupattā pheñk gaī hai dhānoñ par
شہر کے تپتے فٹ پاتہوں پر گاؤں کے موسم ساتہ چلیں,shahr ke tapte futpāthoñ par gaañv ke mausam saath chaleñ
بوڑہے برگد ہاتہ سا رکہ دیں میرے جلتے شانوں پر,būḍhe bargad haath sā rakh deñ mere jalte shānoñ par
سستے داموں لے تو اتے لیکن دل تہا بہر ایا,saste dāmoñ le to aate lekin dil thā bhar aayā
جانے کس کا نام کہدا تہا پیتل کے گل دانوں پر,jaane kis kā naam khudā thā pītal ke guldānoñ par
اس کا کیا من بہید بتاؤں اس کا کیا انداز کہوں,us kā kyā manbhed batāūñ us kā kyā andāz kahūñ
بات بہی میری سننا چاہے ہاتہ بہی رکہے کانوں پر,baat bhī merī sunñā chāhe haath bhī rakkhe kānoñ par
اور بہی سینہ کسنے لگتا اور کمر بل کہا جاتی,aur bhī siina kasne lagtā aur kamar bal khā jaatī
جب بہی اس کے پاؤں پہسلنے لگتے تہے ڈہلوانوں پر,jab bhī us ke paañv phisalne lagte the dhalvānoñ par
شعر تو ان پر لکہے لیکن اوروں سے منسوب کئے,sher to un par likkhe lekin auroñ se mansūb kiye
ان کو کیا کیا غصہ ایا نظموں کے عنوانوں پر,un ko kyā kyā ġhussa aayā nazmoñ ke unvānoñ par
یارو اپنے عشق کے قصے یوں بہی کم مشہور نہیں,yaaro apne ishq ke qisse yuuñ bhī kam mashhūr nahīñ
کل تو شاید ناول لکہے جائیں ان رومانوں پر,kal to shāyad novel likkhe jaaeñ in rūmānoñ par
اہٹ سی کوئی ائے تو لگتا ہے کہ تم ہو,aahat sī koī aae to lagtā hai ki tum ho
سایہ کوئی لہرائے تو لگتا ہے کہ تم ہو,saaya koī lahrāe to lagtā hai ki tum ho
جب شاخ کوئی ہاتہ لگاتے ہی چمن میں,jab shāḳh koī haath lagāte hī chaman meñ
شرمائے لچک جائے تو لگتا ہے کہ تم ہو,sharmāe lachak jaae to lagtā hai ki tum ho
صندل سے مہکتی ہوئی پر کیف ہوا کا,sandal se mahaktī huī purkaif havā kā
جہونکا کوئی ٹکرائے تو لگتا ہے کہ تم ہو,jhoñkā koī takrāe to lagtā hai ki tum ho
اوڑہے ہوئے تاروں کی چمکتی ہوئی چادر,oḍhe hue tāroñ kī chamaktī huī chādar
ندی کوئی بل کہائے تو لگتا ہے کہ تم ہو,naddī koī bal khaae to lagtā hai ki tum ho
جب رات گئے کوئی کرن میرے برابر,jab raat gae koī kiran mere barābar
چپ چاپ سی سو جائے تو لگتا ہے کہ تم ہو,chupchāp sī so jaae to lagtā hai ki tum ho
اج مدت میں وہ یاد ائے ہیں,aaj muddat meñ vo yaad aae haiñ
در و دیوار پہ کچہ سائے ہیں,dar o dīvār pe kuchh saae haiñ
ابگینوں سے نہ ٹکرا پائے,ābgīnoñ se na takrā paae
کوہساروں سے تو ٹکرائے ہیں,kohsāroñ se to takrāe haiñ
زندگی تیرے حوادث ہم کو,zindagī tere havādis ham ko
کچہ نہ کچہ راہ پہ لے ائے ہیں,kuchh na kuchh raah pe le aae haiñ
سنگ ریزوں سے خزف پاروں سے,sañgrezoñ se ḳhazafpāroñ se
کتنے ہیرے کبہی چن لائے ہیں,kitne hiire kabhī chun laae haiñ
اتنے مایوس تو حالات نہیں,itne māyūs to hālāt nahīñ
لوگ کس واسطے گہبرائے ہیں,log kis vāste ghabrāe haiñ
ان کی جانب نہ کسی نے دیکہا,un kī jānib na kisī ne dekhā
جو ہمیں دیکہ کے شرمائے ہیں,jo hameñ dekh ke sharmāe haiñ
انکہیں چرا کے ہم سے بہار ائے یہ نہیں,āñkheñ churā ke ham se bahār aae ye nahīñ
حصے میں اپنے صرف غبار ائے یہ نہیں,hisse meñ apne sirf ġhubār aae ye nahīñ
کوئے غم حیات میں سب عمر کاٹ دی,kūeġhamehayāt meñ sab umr kaat dī
تہوڑا سا وقت واں بہی گزار ائے یہ نہیں,thoḍā sā vaqt vaañ bhī guzār aae ye nahīñ
خود عشق قرب جسم بہی ہے قرب جاں کے ساتہ,ḳhud ishq qurbejism bhī hai qurbejāñ ke saath
ہم دور ہی سے ان کو پکار ائے یہ نہیں,ham duur hī se un ko pukār aae ye nahīñ
انکہوں میں دل کہلے ہوں تو موسم کی قید کیا,āñkhoñ meñ dil khule hoñ to mausam kī qaid kyā
فصل بہار ہی میں بہار ائے یہ نہیں,faslebahār hī meñ bahār aae ye nahīñ
اب کیا کریں کہ حسن جہاں ہے عزیز ہے,ab kyā kareñ ki husn jahāñ hai aziiz hai
تیرے سوا کسی پہ نہ پیار ائے یہ نہیں,tere sivā kisī pe na pyaar aae ye nahīñ
وعدوں کو خون دل سے لکہو تب تو بات ہے,vaadoñ ko ḳhūnedil se likho tab to baat hai
کاغذ پہ قسمتوں کو سنوار ائے یہ نہیں,kāġhaz pe qismatoñ ko sañvār aae ye nahīñ
کچہ روز اور کل کی مروت میں کاٹ لیں,kuchh roz aur kal kī muravvat meñ kaat leñ
دل کو یقین وعدۂ یار ائے یہ نہیں,dil ko yaqīnevaadaeyār aae ye nahīñ
اچہا ہے ان سے کوئی تقاضا کیا نہ جائے,achchhā hai un se koī taqāzā kiyā na jaae
اپنی نظر میں اپ کو رسوا کیا نہ جائے,apnī nazar meñ aap ko rusvā kiyā na jaae
ہم ہیں ترا خیال ہے تیرا جمال ہے,ham haiñ tirā ḳhayāl hai terā jamāl hai
اک پل بہی اپنے اپ کو تنہا کیا نہ جائے,ik pal bhī apne aap ko tanhā kiyā na jaae
اٹہنے کو اٹہ تو جائیں تری انجمن سے ہم,uthne ko uth to jaaeñ tirī anjuman se ham
پر تیری انجمن کو بہی سونا کیا نہ جائے,par terī anjuman ko bhī suunā kiyā na jaae
ان کی روش جدا ہے ہماری روش جدا,un kī ravish judā hai hamārī ravish judā
ہم سے تو بات بات پہ جہگڑا کیا نہ جائے,ham se to baat baat pe jhagḍā kiyā na jaae
ہر چند اعتبار میں دہوکے بہی ہیں مگر,harchand etibār meñ dhoke bhī haiñ magar
یہ تو نہیں کسی پہ بہروسا کیا نہ جائے,ye to nahīñ kisī pe bharosā kiyā na jaae
لہجہ بنا کے بات کریں ان کے سامنے,lahja banā ke baat kareñ un ke sāmne
ہم سے تو اس طرح کا تماشا کیا نہ جائے,ham se to is tarah kā tamāshā kiyā na jaae
انعام ہو خطاب ہو ویسے ملے کہاں,inaam ho ḳhitāb ho vaise mile kahāñ
جب تک سفارشوں کو اکٹہا کیا نہ جائے,jab tak sifārishoñ ko ikatthā kiyā na jaae
اس وقت ہم سے پوچہ نہ غم روزگار کے,is vaqt ham se pūchh na ġham rozgār ke
ہم سے ہر ایک گہونٹ کو کڑوا کیا نہ جائے,ham se har ek ghūñt ko kaḍvā kiyā na jaae
اے درد عشق تجہ سے مکرنے لگا ہوں میں,ai dardeishq tujh se mukarne lagā huuñ maiñ
مجہ کو سنبہال حد سے گزرنے لگا ہوں میں,mujh ko sambhāl had se guzarne lagā huuñ maiñ
پہلے حقیقتوں ہی سے مطلب تہا اور اب,pahle haqīqatoñ hī se matlab thā aur ab
ایک ادہ بات فرض بہی کرنے لگا ہوں میں,ek aadh baat farz bhī karne lagā huuñ maiñ
ہر ان ٹوٹتے یہ عقیدوں کے سلسلے,har aan tūtte ye aqīdoñ ke silsile
لگتا ہے جیسے اج بکہرنے لگا ہوں میں,lagtā hai jaise aaj bikharne lagā huuñ maiñ
اے چشم یار میرا سدہرنا محال تہا,ai chashmeyār merā sudharnā muhāl thā
تیرا کمال ہے کہ سدہرنے لگا ہوں میں,terā kamāl hai ki sudharne lagā huuñ maiñ
یہ مہر و ماہ ارض و سما مجہ میں کہو گئے,ye mehromāh arzosamā mujh meñ kho gae
اک کائنات بن کے ابہرنے لگا ہوں میں,ik kāenāt ban ke ubharne lagā huuñ maiñ
اتنوں کا پیار مجہ سے سنبہالا نہ جائے گا,itnoñ kā pyaar mujh se sambhālā na jāegā
لوگو تمہارے پیار سے ڈرنے لگا ہوں میں,logo tumhāre pyaar se darne lagā huuñ maiñ
دلی کہاں گئیں ترے کوچوں کی رونقیں,dillī kahāñ gaiiñ tire kūchoñ kī raunaqeñ
گلیوں سے سر جہکا کے گزرنے لگا ہوں میں,galiyoñ se sar jhukā ke guzarne lagā huuñ maiñ
اشعار مرے یوں تو زمانے کے لیے ہیں,ashār mire yuuñ to zamāne ke liye haiñ
کچہ شعر فقط ان کو سنانے کے لیے ہیں,kuchh sher faqat un ko sunāne ke liye haiñ
اب یہ بہی نہیں ٹہیک کہ ہر درد مٹا دیں,ab ye bhī nahīñ thiik ki har dard mitā deñ
کچہ درد کلیجے سے لگانے کے لیے ہیں,kuchh dard kaleje se lagāne ke liye haiñ
سوچو تو بڑی چیز ہے تہذیب بدن کی,socho to baḍī chiiz hai tahzīb badan kī
ورنہ یہ فقط اگ بجہانے کے لیے ہیں,varna ye faqat aag bujhāne ke liye haiñ
انکہوں میں جو بہر لو گے تو کانٹوں سے چبہیں گے,āñkhoñ meñ jo bhar loge to kāñtoñ se chubheñge
یہ خواب تو پلکوں پہ سجانے کے لیے ہیں,ye ḳhvāb to palkoñ pe sajāne ke liye haiñ
دیکہوں ترے ہاتہوں کو تو لگتا ہے ترے ہاتہ,dekhūñ tire hāthoñ ko to lagtā hai tire haath
مندر میں فقط دیپ جلانے کے لیے ہیں,mandir meñ faqat diip jalāne ke liye haiñ
یہ علم کا سودا یہ رسالے یہ کتابیں,ye ilm kā saudā ye risāle ye kitābeñ
اک شخص کی یادوں کو بہلانے کے لیے ہیں,ik shaḳhs kī yādoñ ko bhulāne ke liye haiñ
بہت دل کر کے ہونٹوں کی شگفتہ تازگی دی ہے,bahut dil kar ke hoñtoñ kī shagufta tāzgī dī hai
چمن مانگا تہا پر اس نے بمشکل اک کلی دی ہے,chaman māñgā thā par us ne bamushkil ik kalī dī hai
مرے خلوت کدے کے رات دن یوں ہی نہیں سنورے,mire ḳhalvatkade ke raat din yūñhī nahīñ sañvre
کسی نے دہوپ بخشی ہے کسی نے چاندنی دی ہے,kisī ne dhuup baḳhshī hai kisī ne chāndnī dī hai
نظر کو سبز میدانوں نے کیا کیا وسعتیں بخشیں,nazar ko sabz maidānoñ ne kyā kyā vusateñ baḳhshīñ
پگہلتے ابشاروں نے ہمیں دریا دلی دی ہے,pighalte ābshāroñ ne hameñ dariyādilī dī hai
محبت ناروا تقسیم کی قائل نہیں پہر بہی,mohabbat nāravā taqsīm kī qaael nahīñ phir bhī
مری انکہوں کو انسو تیرے ہونٹوں کو ہنسی دی ہے,mirī āñkhoñ ko aañsū tere hoñtoñ ko hañsī dī hai
مری اوارگی بہی اک کرشمہ ہے زمانے میں,mirī āvārgī bhī ik karishma hai zamāne meñ
ہر اک درویش نے مجہ کو دعائے خیر ہی دی ہے,har ik darvesh ne mujh ko duāeḳhair hī dī hai
کہاں ممکن تہا کوئی کام ہم جیسے دوانوں سے,kahāñ mumkin thā koī kaam ham jaise divānoñ se
تمہیں نے گیت لکہوائے تمہیں نے شاعری دی ہے,tumhīñ ne giit likhvāe tumhīñ ne shāirī dī hai
چونک چونک اٹہتی ہے محلوں کی فضا رات گئے,chauñk chauñk uthtī hai mahloñ kī fazā raat gae
کون دیتا ہے یہ گلیوں میں صدا رات گئے,kaun detā hai ye galiyoñ meñ sadā raat gae
یہ حقائق کی چٹانوں سے تراشی دنیا,ye haqāeq kī chatānoñ se tarāshī duniyā
اوڑہ لیتی ہے طلسموں کی ردا رات گئے,oḍh letī hai tilismoñ kī ridā raat gae
چبہ کے رہ جاتی ہے سینے میں بدن کی خوشبو,chubh ke rah jaatī hai siine meñ badan kī ḳhushbū
کہول دیتا ہے کوئی بند قبا رات گئے,khol detā hai koī bandeqabā raat gae
اؤ ہم جسم کی شمعوں سے اجالا کر لیں,aao ham jism kī shamoñ se ujālā kar leñ
چاند نکلا بہی تو نکلے گا ذرا رات گئے,chāñd niklā bhī to niklegā zarā raat gae
تو نہ اب ائے تو کیا اج تلک اتی ہے,tū na ab aae to kyā aaj talak aatī hai
سیڑہیوں سے ترے قدموں کی صدا رات گئے,sīḍhiyoñ se tire qadmoñ kī sadā raat gae
دیدہ و دل میں کوئی حسن بکہرتا ہی رہا,diida o dil meñ koī husn bikhartā hī rahā
لاکہ پردوں میں چہپا کوئی سنورتا ہی رہا,laakh pardoñ meñ chhupā koī sañvartā hī rahā
روشنی کم نہ ہوئی وقت کے طوفانوں میں,raushnī kam na huī vaqt ke tūfānoñ meñ
دل کے دریا میں کوئی چاند اترتا ہی رہا,dil ke dariyā meñ koī chāñd utartā hī rahā
راستے بہر کوئی اہٹ تہی کہ اتی ہی رہی,rāste bhar koī aahat thī ki aatī hī rahī
کوئی سایہ مرے بازو سے گزرتا ہی رہا,koī saaya mire baazū se guzartā hī rahā
مٹ گیا پر تری بانہوں نے سمیٹا نہ مجہے,mit gayā par tirī bāñhoñ ne sametā na mujhe
شہر در شہر میں گلیوں میں بکہرتا ہی رہا,shahr dar shahr maiñ galiyoñ meñ bikhartā hī rahā
لمحہ لمحہ رہے انکہوں میں اندہیرے لیکن,lamha lamha rahe āñkhoñ meñ andhere lekin
کوئی سورج مرے سینے میں ابہرتا ہی رہا,koī sūraj mire siine meñ ubhartā hī rahā
دل کو ہر لمحہ بچاتے رہے جذبات سے ہم,dil ko har lamha bachāte rahe jazbāt se ham
اتنے مجبور رہے ہیں کبہی حالات سے ہم,itne majbūr rahe haiñ kabhī hālāt se ham
نشۂ مے سے کہیں پیاس بجہی ہے دل کی,nashshaemai se kahīñ pyaas bujhī hai dil kī
تشنگی اور بڑہا لائے خراجات سے ہم,tishnagī aur baḍhā laae ḳharājāt se ham
اج تو مل کے بہی جیسے نہ ملے ہوں تجہ سے,aaj to mil ke bhī jaise na mile hoñ tujh se
چونک اٹہتے تہے کبہی تیری ملاقات سے ہم,chauñk uthte the kabhī terī mulāqāt se ham
عشق میں اج بہی ہے نیم نگاہی کا چلن,ishq meñ aaj bhī hai nīmnigāhī kā chalan
پیار کرتے ہیں اسی حسن روایات سے ہم,pyaar karte haiñ usī husnerivāyāt se ham
